indicator,year,value,table,category
Skill stream,1984,10100.0,1_0,
Skill stream,1985,16200.0,1_0,
Skill stream,1986,28500.0,1_0,
Skill stream,1987,42000.0,1_0,
Skill stream,1988,51200.0,1_0,
Skill stream,1989,52700.0,1_0,
Skill stream,1990,49800.0,1_0,
Skill stream,1991,41400.0,1_0,
Skill stream,1992,21300.0,1_0,
Skill stream,1993,18300.0,1_0,
Skill stream,1994,30400.0,1_0,
Skill stream,1995,24100.0,1_0,
Skill stream,1996,34676.0,1_0,
Skill stream,1997,34446.0,1_0,
Skill stream,1998,34895.0,1_0,
Skill stream,1999,35352.0,1_0,
Skill stream,2000,44721.0,1_0,
Skill stream,2001,53507.0,1_0,
Skill stream,2002,66053.0,1_0,
Skill stream,2003,71243.0,1_0,
Skill stream,2004,77878.0,1_0,
Skill stream,2005,97336.0,1_0,
Skill stream,2006,97922.0,1_0,
Skill stream,2007,108540.0,1_0,
Skill stream,2008,114777.0,1_0,
Skill stream,2009,107868.0,1_0,
Skill stream,2010,113725.0,1_0,
Skill stream,2011,125755.0,1_0,
Skill stream,2012,128973.0,1_0,
Skill stream,2013,128550.0,1_0,
Skill stream,2014,127774.0,1_0,
Skill stream,2015,128550.0,1_0,
Skill stream,2016,123567.0,1_0,
Skill stream,2017,111099.0,1_0,
Skill stream,2018,109713.0,1_0,
Skill stream,2019,95843.0,1_0,
Skill stream,2020,79620.0,1_0,
Skill stream,2021,89063.0,1_0,
Skill stream,2022,142344.0,1_0,
Skill stream,2023,137100.0,1_0,
Skill stream,2024,132148.0,1_0,
Family stream1,1984,43000.0,1_0,
Family stream1,1985,62100.0,1_0,
Family stream1,1986,70700.0,1_0,
Family stream1,1987,77500.0,1_0,
Family stream1,1988,70400.0,1_0,
Family stream1,1989,64500.0,1_0,
Family stream1,1990,59300.0,1_0,
Family stream1,1991,53700.0,1_0,
Family stream1,1992,42600.0,1_0,
Family stream1,1993,40700.0,1_0,
Family stream1,1994,42000.0,1_0,
Family stream1,1995,53870.0,1_0,
Family stream1,1996,34993.0,1_0,
Family stream1,1997,29093.0,1_0,
Family stream1,1998,29967.0,1_0,
Family stream1,1999,29855.0,1_0,
Family stream1,2000,31337.0,1_0,
Family stream1,2001,35920.0,1_0,
Family stream1,2002,38113.0,1_0,
Family stream1,2003,39567.0,1_0,
Family stream1,2004,39245.0,1_0,
Family stream1,2005,42744.0,1_0,
Family stream1,2006,47071.0,1_0,
Family stream1,2007,46808.0,1_0,
Family stream1,2008,53128.0,1_0,
Family stream1,2009,56710.0,1_0,
Family stream1,2010,51243.0,1_0,
Family stream1,2011,54904.0,1_0,
Family stream1,2012,56335.0,1_0,
Family stream1,2013,57262.0,1_0,
Family stream1,2014,56950.0,1_0,
Family stream1,2015,57400.0,1_0,
Family stream1,2016,56220.0,1_0,
Family stream1,2017,47732.0,1_0,
Family stream1,2018,47247.0,1_0,
Family stream1,2019,41961.0,1_0,
Family stream1,2020,77372.0,1_0,
Family stream1,2021,51288.0,1_0,
Family stream1,2022,49500.0,1_0,
Family stream1,2023,49720.0,1_0,
Family stream1,2024,49500.0,1_0,
Child stream2,1984,1200.0,1_0,
Child stream2,1985,1300.0,1_0,
Child stream2,1986,1900.0,1_0,
Child stream2,1987,2000.0,1_0,
Child stream2,1988,2300.0,1_0,
Child stream2,1989,2100.0,1_0,
Child stream2,1990,2000.0,1_0,
Child stream2,1991,2200.0,1_0,
Child stream2,1992,2700.0,1_0,
Child stream2,1993,2500.0,1_0,
Child stream2,1994,2500.0,1_0,
Child stream2,1995,2830.0,1_0,
Child stream2,1996,2183.0,1_0,
Child stream2,1997,2188.0,1_0,
Child stream2,1998,2071.0,1_0,
Child stream2,1999,2162.0,1_0,
Child stream2,2000,2124.0,1_0,
Child stream2,2001,2162.0,1_0,
Child stream2,2002,2681.0,1_0,
Child stream2,2003,2662.0,1_0,
Child stream2,2004,2491.0,1_0,
Child stream2,2005,2547.0,1_0,
Child stream2,2006,3008.0,1_0,
Child stream2,2007,3062.0,1_0,
Child stream2,2008,3238.0,1_0,
Child stream2,2009,3544.0,1_0,
Child stream2,2010,3300.0,1_0,
Child stream2,2011,3700.0,1_0,
Child stream2,2012,3850.0,1_0,
Child stream2,2013,3850.0,1_0,
Child stream2,2014,4135.0,1_0,
Child stream2,2015,3512.0,1_0,
Child stream2,2016,3400.0,1_0,
Child stream2,2017,3350.0,1_0,
Child stream2,2018,3248.0,1_0,
Child stream2,2019,2481.0,1_0,
Child stream2,2020,3006.0,1_0,
Child stream2,2021,3006.0,1_0,
Child stream2,2022,3000.0,1_0,
Child stream2,2023,3000.0,1_0,
Child stream2,2024,3000.0,1_0,
Special Eligibility,1984,200.0,1_0,
Special Eligibility,1985,400.0,1_0,
Special Eligibility,1986,600.0,1_0,
Special Eligibility,1987,600.0,1_0,
Special Eligibility,1988,800.0,1_0,
Special Eligibility,1989,900.0,1_0,
Special Eligibility,1990,1200.0,1_0,
Special Eligibility,1991,1700.0,1_0,
Special Eligibility,1992,1400.0,1_0,
Special Eligibility,1993,1300.0,1_0,
Special Eligibility,1994,1600.0,1_0,
Special Eligibility,1995,1700.0,1_0,
Special Eligibility,1996,1735.0,1_0,
Special Eligibility,1997,1113.0,1_0,
Special Eligibility,1998,888.0,1_0,
Special Eligibility,1999,2868.0,1_0,
Special Eligibility,2000,2415.0,1_0,
Special Eligibility,2001,1465.0,1_0,
Special Eligibility,2002,1225.0,1_0,
Special Eligibility,2003,890.0,1_0,
Special Eligibility,2004,450.0,1_0,
Special Eligibility,2005,306.0,1_0,
Special Eligibility,2006,199.0,1_0,
Special Eligibility,2007,220.0,1_0,
Special Eligibility,2008,175.0,1_0,
Special Eligibility,2009,501.0,1_0,
Special Eligibility,2010,417.0,1_0,
Special Eligibility,2011,639.0,1_0,
Special Eligibility,2012,842.0,1_0,
Special Eligibility,2013,338.0,1_0,
Special Eligibility,2014,238.0,1_0,
Special Eligibility,2015,308.0,1_0,
Special Eligibility,2016,421.0,1_0,
Special Eligibility,2017,236.0,1_0,
Special Eligibility,2018,115.0,1_0,
Special Eligibility,2019,81.0,1_0,
