0,1,2,3,4,5,6,7,8,9,10,11,12,13
,"Table 1.11: Skill stream outcome primary applicants, Skilled Independent visas—top 10 nominated occupations by ANZSCO Unit Group, 2015–16 to 2024–251",,,,,,,,,,,,
,Year2,Registered Nurses,Early Childhood (Pre-primary School) Teachers,Civil Engineering Professionals,Carpenters and Joiners,Architects and Landscape Architects,Civil Engineering Draftspersons and Technicians,Painting Trades Workers,Software and Applications Programmers,Chefs,Secondary School Teachers,Other3,Total
,2015–16,2632,160,1054,148,303,50,26,4185,94,502,14105,23259
,2016–17,2262,188,1219,102,294,76,13,4170,92,439,12812,21667
,2017–18,1566,132,1057,41,255,52,<5,3496,84,321,12299,19303
,2018–19,981,155,822,16,199,53,<5,3460,31,271,11029,17017
,2019–20,384,30,227,5,43,12,0,987,7,54,4551,6300
,2020–21,223,6,183,0,20,11,<5,418,8,18,3196,4083
,2021–22,123,16,38,0,5,5,0,151,<5,24,2509,2871
,2022–23,5360,813,432,<5,82,173,<5,151,87,563,9605,17266
,2023–24,5278,756,741,89,173,199,111,1082,1125,548,8512,18614
,2024–25,1467,951,676,666,605,584,472,421,329,305,4712,11188
,,,,,,,,,,,,,
,1. ANZSCO—Australian and New Zealand Standard Classification of Occupations.,,,,,,,,,,,,
,2. Top 10 nominated occupations are based on 2024–25.,,,,,,,,,,,,
,3. Other includes occupation not specified and has been perturbed to protect the privacy of individuals.,,,,,,,,,,,,
,"Note: To protect the privacy of individuals, various data confidentiality techniques have been applied. These techniques include:",,,,,,,,,,,,
,- data masking — using primary and secondary suppression methods for values that are deemed to be a disclosure risk,,,,,,,,,,,,
,- perturbation — a data security technique that allows for random data adjustment to prevent the release of identifiable data.,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,
