0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,"Table 1.17: All other Family stream outcome and Child outcome visas—top 15 citizenship countries, Parent, Other Family and Child visas, 2015–16 to 2024–251",,,,,,,,,,,,,,,,,
,Year2,People's Republic of China3,India,Vietnam,Philippines,United Kingdom,Thailand,Malaysia,Indonesia,South Africa,Sri Lanka,Ukraine,Iran,Republic of Korea,Lebanon,Cambodia,Other4,Total
,2015–16,5561,1087,882,537,690,302,363,173,217,217,39,96,185,62,112,2564,13087
,2016–17,5013,971,817,557,549,257,286,173,188,186,28,79,153,68,102,2368,11795
,2017–18,5013,1000,752,572,447,268,254,126,209,208,40,93,113,65,99,2024,11283
,2018–19,4465,1061,638,561,483,240,224,127,191,160,25,108,103,65,88,2038,10577
,2019–20,2439,839,582,400,433,218,151,130,156,159,15,71,75,30,103,1523,7324
,2020–21,3012,805,629,650,382,223,181,123,185,82,13,75,89,42,57,1454,8002
,2021–22,2879,764,541,547,347,216,167,126,140,94,72,63,67,51,75,1857,8006
,2022–23,5674,1067,959,602,337,321,279,154,148,143,199,120,102,42,93,1760,12000
,2023–24,6482,705,772,466,227,216,192,104,98,134,257,77,100,68,76,2026,12000
,2024–25,6511,813,791,628,299,237,213,176,145,124,117,110,97,95,85,1559,12000
,,,,,,,,,,,,,,,,,,
,1. Includes both primary and secondary applicants.,,,,,,,,,,,,,,,,,
,2. Top 15 citizenship countries are based 2024–25.,,,,,,,,,,,,,,,,,
,3. Excludes Special Administrative Regions (SARs).,,,,,,,,,,,,,,,,,
,4. Other includes citizenship not specified and has been perturbed to protect the privacy of individuals.,,,,,,,,,,,,,,,,,
,"Note: To protect the privacy of individuals, various data confidentiality techniques have been applied. These techniques include:",,,,,,,,,,,,,,,,,
,- data masking — using primary and secondary suppression methods for values that are deemed to be a disclosure risk,,,,,,,,,,,,,,,,,
,- perturbation — a data security technique that allows for random data adjustment to prevent the release of identifiable data.,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,
