0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,"Table 1.18: Permanent migration places granted to former international students in Australia, 2015–16 to 2024–25",,,,,,,,,,,,,,,
,,Skill stream,,,,,,,,,Family stream,,,Special Eligibility,Child stream6,
,Year,Regional1,State/Territory Nominated,Employer Sponsored,Skilled Independent,Global Talent (Independent)2,Business Innovation and Investment3,Distinguished Talent,Skilled Regional4,Skill stream total,Partner,"All other
Family stream visas5",Family stream total,Special Eligibility total,Child stream total,Total
,2015–16,,2602,2889,4757,,331,34,1664,12277,5804,65,5869,36,69,18251
,2016–17,,2478,2256,4527,,329,31,190,9811,7118,47,7165,57,69,17102
,2017–18,,2769,1168,3081,,298,21,121,7458,5619,35,5654,26,0,13138
,2018–19,,2439,2684,2674,,315,45,53,8210,6484,25,6509,13,0,14732
,2019–20,3742,3096,618,990,1313,191,42,,9992,6575,12,6587,9,0,16588
,2020–21,2588,2439,876,673,1692,456,38,,8762,14435,75,14510,20,0,23292
,2021–22,4408,3934,1109,197,936,461,46,,11091,10776,37,10813,18,0,21922
,2022–23,6371,6000,1459,2758,425,199,62,,17274,8424,69,8493,37,,25804
,2023–24,4829,3717,1171,3203,237,84,62,,13303,5992,70,6062,28,,19393
,2024–25,2833,2680,1318,1271,117,55,35,,8309,4165,97,4262,66,,12637
,,,,,,,,,,,,,,,,
,1. The Regional migration category commenced 1 July 2019. ,,,,,,,,,,,,,,,
,"2. The Global Talent (Independent) program came into effect from 4 November 2019. Effective 6 December 2024, the Global Talent visa (subclass 858) was closed to new applications and was replaced by the National Innovation visa.  ",,,,,,,,,,,,,,,
,3. The Business Innovation and Investment Program closed to new applications on 31 July 2024. Numbers are for net outcome. Visas cancelled under s134 of the Migration Act 1958 are returned to the Program in the year in which they are cancelled.,,,,,,,,,,,,,,,
,"4. In effect 1 July 2012, replacing the Family Sponsored and Skilled Independent Regional (Provisional) visas. Effective 1 July 2019, due to structural changes the category ceased and the visa components merged within the new 'Regional' migration category.",,,,,,,,,,,,,,,
,"5. From 2015–16 to 2021–22, Child visa outcomes (excluding Orphan Relative visas) were not counted within the Family stream. Orphan Relative visa outcomes, as of 2022–23, are counted under Child.",,,,,,,,,,,,,,,
,"6. From 2022–23, Child visa outcomes count against the Family stream; from 2023-24, Partner places are allocated on demand as are Child visas (since 2015–16) within the overall Migration Program ceiling.",,,,,,,,,,,,,,,
,Note: Includes both primary and secondary applicants. Location is at time of visa lodgement. Stream and category places based on 2024–25.,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,
