0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,"Table 1.2: Skill stream outcome by location, applicant type and gender, 2015–16 to 2024–25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Outside Australia - primary applicant by gender,,,,,Outside Australia - secondary applicant by gender,,,,,In Australia - primary applicant by gender,,,,,In Australia - secondary applicant by gender,,,,,Outside Australia by gender - total,,,,,In Australia by gender - total,,,,,Skill stream total by location,,,,
,Year,Female,% Female,Male,% Male,Total1,Female,% Female,Male,% Male,Total1,Female,% Female,Male,% Male,Total1,Female,% Female,Male,% Male,Total1,Female,% Female,Male,% Male,Total1,Female,% Female,Male,% Male,Total1,Outside Australia,% Outside Australia,In Australia,% In Australia,Total
,2015–16,6175,30.384293657432465,14148,69.61570634256753,20328,20481,60.093304383545565,13601,39.906695616454435,34096,14989,37.10883343236284,25403,62.89116656763716,40407,19402,57.56245178899899,14304,42.43754821100101,33719,26656,48.99549673743222,27749,51.00450326256778,54424,34391,46.41285864665713,39707,53.58714135334287,74126,54424,42.33683391676391,74126,57.66316608323609,128550
,2016–17,5712,28.564284642696403,14285,71.4357153573036,20004,21183,61.07779251484921,13499,38.9222074851508,34694,13222,35.919587068731325,23588,64.08041293126868,36813,18911,59.008362456315524,13137,40.991637543684476,32056,26895,49.18707364801843,27784,50.81292635198157,54698,32133,46.665601673008226,36725,53.33439832699178,68869,54698,44.26586386332921,68869,55.7341361366708,123567
,2017–18,5686,29.242954124665705,13758,70.75704587533428,19447,21266,59.41219198748393,14528,40.587808012516064,35799,11489,37.55311498986729,19105,62.4468850101327,30599,15257,60.42376237623762,9993,39.57623762376238,25254,26952,48.79249791809986,28286,51.20750208190014,55246,26746,47.894133658047416,29098,52.10586634195258,55853,55246,49.72682022340435,55853,50.27317977659565,111099
,2018–19,5181,31.759946055293327,11132,68.24005394470667,16317,18167,58.55977822905586,12856,41.440221770944135,31030,13316,38.76451922797008,21035,61.23548077202992,34358,16439,58.71071428571428,11561,41.28928571428571,28008,23348,49.32398174750718,23988,50.67601825249282,47347,29755,47.72176869657263,32596,52.27823130342737,62366,47347,43.15532343477984,62366,56.84467656522016,109713
,2019–20,3136,35.00390668601406,5823,64.99609331398594,8959,11810,56.92663646004049,8936,43.07336353995951,20751,13926,39.8215664407652,21045,60.17843355923479,34985,17761,57.02864115078346,13383,42.97135884921654,31148,14946,50.31476182460865,14759,49.68523817539135,29710,31687,47.927096725402706,34428,52.072903274597294,66133,29710,30.99861231388834,66133,69.00138768611166,95843
,2020–21,1995,35.90066582688501,3562,64.09933417311498,5557,9658,55.58881086681248,7716,44.41118913318752,17376,11498,37.68229934781896,19015,62.31770065218104,30525,15249,58.29128440366973,10911,41.70871559633028,26162,11653,50.81767040251188,11278,49.18232959748812,22933,26747,47.19531346496568,29926,52.80468653503432,56687,22933,28.80306455664406,56687,71.19693544335594,79620
,2021–22,2466,32.731616671091054,5068,67.26838332890894,7534,12547,56.58683985026835,9626,43.41316014973165,22174,13955,41.687826736370425,19520,58.312173263629575,33488,14102,54.53420472562745,11757,45.46579527437256,25867,15013,50.536910492476515,14694,49.46308950752348,29708,28057,47.286547342164695,31277,52.713452657835305,59355,29708,33.35616361452006,59355,66.64383638547994,89063
,2022–23,5937,40.42075163398693,8751,59.57924836601307,14694,19213,54.97439125582992,15736,45.02560874417008,34956,25233,46.5433282915852,28981,53.4566717084148,54228,19947,51.872366983928856,18507,48.127633016071144,38466,25150,50.66784858069585,24487,49.33215141930415,49650,45180,48.754694177062206,47488,51.2453058229378,92694,49650,34.880290001686056,92694,65.11970999831395,142344
,2023–24,7323,45.192545050604785,8881,54.80745494939521,16214,20017,53.7831156967059,17201,46.2168843032941,37223,21811,43.64906241869959,28158,56.35093758130041,49986,17382,51.62459162459162,16288,48.37540837540838,33677,27340,51.1774175433342,26082,48.82258245666579,53437,39193,46.85971855234998,44446,53.14028144765002,83663,53437,38.97665937272064,83663,61.02334062727935,137100
,2024–25,6329,41.18297761582509,9039,58.81702238417491,15374,20398,55.61978513388232,16276,44.38021486611768,36679,17681,39.212685739631844,27409,60.787314260368156,45100,19826,56.663522821458166,15163,43.33647717854183,34995,26727,51.35659659505784,25315,48.64340340494216,52053,37507,46.83749797075388,42572,53.16250202924612,80095,52053,39.38992644610588,80095,60.61007355389412,132148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Includes a small number where gender has not been specified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Location is at time of visa lodgement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
