0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,"Table 1.4: Skill stream outcome primary applicants, Employer Sponsored visas by nominator industry, 2007–08 to 2024–25",,,,,,,,,,,,,,,,,,,,,
,Year,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Mining,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,Transport Postal and Warehousing,Wholesale Trade,Not Specified,Total
,2007–08,484,70,171,505,497,573,268,415,1948,573,712,405,896,534,453,284,296,113,148,119,9464
,2008–09,839,134,330,418,1002,791,363,562,3207,725,1390,786,1429,895,407,385,485,242,246,99,14735
,2009–10,1277,105,553,234,1225,838,355,514,3402,806,1733,876,1767,933,292,300,525,255,273,71,16334
,2010–11,1978,108,652,203,1535,1021,378,699,3213,1074,1802,939,2158,1237,140,312,754,288,260,100,18851
,2011–12,3122,87,601,184,1717,1016,331,515,3301,962,1774,852,2648,1202,295,234,989,286,258,138,20512
,2012–13,3797,118,638,304,1760,928,332,605,2772,1034,1690,755,3077,1462,179,177,1144,253,275,351,21651
,2013–14,3247,131,511,344,1784,1286,323,647,2688,1193,1350,817,2847,1993,194,132,1084,303,357,222,21453
,2014–15,3560,142,411,281,2138,1282,399,612,1986,1281,1414,868,3154,2098,94,172,1240,348,437,181,22098
,2015–16,4528,135,419,221,1696,1245,417,635,1671,1214,1327,439,3430,1963,41,193,1541,426,515,35,22091
,2016–17,4473,128,537,212,1683,1296,297,717,1610,1244,1456,328,3509,2013,32,217,1503,391,525,13,22184
,2017–18,2381,130,442,169,1112,1114,206,667,1318,1294,947,239,2241,2141,45,143,856,261,320,10,16036
,2018–19,3824,184,678,204,1135,1706,213,933,1486,1614,956,201,2501,2687,32,146,971,253,299,<5,20025
,2019–20,2455,84,280,100,1092,902,123,460,1260,1135,798,107,1558,1847,18,130,535,145,234,0,13263
,2020–21,1041,39,292,57,1119,607,143,378,1383,1253,511,112,841,2106,15,37,339,150,118,<5,10543
,2021–22,1749,26,324,60,864,486,110,480,1377,1220,583,191,886,2616,36,51,406,124,134,<5,11724
,2022–23,1752,63,253,58,1460,719,193,569,2662,1313,835,267,1591,2544,51,47,450,191,109,0,15127
,2023–24,1734,37,498,51,1269,579,180,311,3241,879,1226,255,1301,2008,297,42,382,139,152,<5,14582
,2024–25,2242,47,438,83,1396,713,238,508,4127,1124,966,507,1271,3013,300,55,408,201,146,<5,17784
,,,,,,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,,,,,
