0,1,2,3,4,5,6,7,8,9,10
,"Table 2.0: Temporary visas granted by visa category, 2001–02 to 2024–25",,,,,,,,,
,Year,Visitor,Special Category,Crew and Transit,Student,Working Holiday Maker,Temporary Resident (Other Employment),Temporary Resident (Skilled Employment)1,Other Temporary,Total2
,2001–02,3364335,964300,34351,153631,85241,45681,37892,6389,4691820
,2002–03,3265315,968417,38254,162716,88747,51006,41665,6346,4622466
,2003–04,3492097,1130623,40667,171579,93893,51419,42361,6810,5029449
,2004–05,3613350,1311194,37952,175277,105051,51651,49046,7709,5351230
,2005–06,3598896,1330974,35651,191319,115444,46510,71696,7681,5398171
,2006–07,3672485,1377978,38590,230794,136805,45136,87933,7783,5597504
,2007–08,3647946,1430189,388828,278704,157827,44183,111019,8407,6067103
,2008–09,3378969,1441125,212192,319630,194316,52383,101432,7972,5708019
,2009–10,3444262,1487375,221585,270493,183168,56821,68023,8255,5739982
,2010–11,3540505,1589422,288995,250435,192922,57863,90145,9285,6019572
,2011–12,3558483,1675697,265849,253047,222992,77263,125075,9372,6187778
,2012–13,3750640,1705150,298217,259278,258248,80403,126361,9313,6487610
,2013–14,3990248,1762890,322126,292060,239592,104738,98571,10558,6820783
,2014–15,4308107,1798220,320521,299540,226812,119817,96084,11469,7180570
,2015–16,4799173,1850308,345873,310845,214583,130807,85611,11387,7748587
,2016–17,5345684,1921561,352394,343035,211011,145100,87580,12254,8418619
,2017–18,5639167,1856614,351516,378292,210456,180459,64470,13074,8694048
,2018–19,5686318,1889988,347744,405742,209036,186148,81975,11886,8818837
,2019–20,4056603,1396835,308233,340152,149249,162108,55060,9222,6477462
,2020–21,167576,143023,256969,232750,39586,107648,43195,2961,993708
,2021–22,1131890,302226,275549,263737,97359,160475,61987,3604,2296827
,2022–23,3818495,1428081,402150,577295,224431,464539,102565,7810,7025366
,2023–24,4713442,1786486,394332,376731,234556,319366,101533,6291,7932737
,2024–25,4915854,1873536,405266,371564,321116,255420,130571,5961,8279288
,,,,,,,,,,
,1. Includes Independent Executive visa.,,,,,,,,,
,2. Excludes Bridging visas.,,,,,,,,,
,Note: Data before 2017–18 has been revised and therefore may differ from statistics previously published. Order based on 2024–25 visa grants.,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,
