0,1,2,3,4
,"Table 2.2: Intra-company transfer Temporary Resident (Skilled Employment) visas granted by applicant type, 2015–16 to 2024–25",,,
,Year,Primary applicant,Secondary applicant,Total
,2015–16,8086,4687,12773
,2016–17,7599,4835,12434
,2017–18,4692,3390,8082
,2018–19,2839,2960,5799
,2019–20,1840,1946,3786
,2020–21,1521,1866,3387
,2021–22,1841,2190,4031
,2022–23,2968,3255,6223
,2023–24,3376,3085,6461
,2024–25,3405,3228,6633
,,,,
,"Note: Figures for 2017–18 have been revised to include Temporary Short Stay visa (subclass 482), introduced in March 2018.",,,
,Click here to return to: Report Contents,,,
