0,1,2,3,4,5,6,7
,"Table 4.0: Visa cancellations by visa category, 2023–24 to 2024–25",,,,,,
,Year,Student,Temporary Resident,Visitor,Working Holiday,All other categories,Total
,2022–23,4723,4727,4621,59,1583,15713
,2023–24,13966,4609,8192,703,1401,28871
,2024–25,21632,6496,6679,653,2521,37981
,,,,,,,
,"Note: Last visa held relates to last substantive visa held, Bridging visas were excluded. ",,,,,,
,"Figures were extracted from Departmental systems on 3 July 2025. As data is drawn from a live system environment, the figures provided may differ from statistics previously published. ",,,,,,
,Includes s501 visa cancellations. Categories are based on 2024–25. ,,,,,,
,Click here to return to: Report Contents,,,,,,
