indicator,year,value
Skill stream | Employer Sponsored1,2015,48250.0
Skill stream | Employer Sponsored1,2016,48250.0
Skill stream | Employer Sponsored1,2017,35528.0
Skill stream | Employer Sponsored1,2018,42012.0
Skill stream | Employer Sponsored1,2019,29261.0
Skill stream | Employer Sponsored1,2020,23503.0
Skill stream | Employer Sponsored1,2021,26103.0
Skill stream | Employer Sponsored1,2022,35000.0
Skill stream | Employer Sponsored1,2023,36825.0
Skill stream | Employer Sponsored1,2024,44000.0
Skill stream | State/Territory Nominated,2015,24650.0
Skill stream | State/Territory Nominated,2016,23765.0
Skill stream | State/Territory Nominated,2017,27400.0
Skill stream | State/Territory Nominated,2018,25346.0
Skill stream | State/Territory Nominated,2019,21495.0
Skill stream | State/Territory Nominated,2020,14268.0
Skill stream | State/Territory Nominated,2021,19376.0
Skill stream | State/Territory Nominated,2022,31000.0
Skill stream | State/Territory Nominated,2023,30400.0
Skill stream | State/Territory Nominated,2024,33000.0
Skill stream | Regional2,2019,23372.0
Skill stream | Regional2,2020,13585.0
Skill stream | Regional2,2021,18223.0
Skill stream | Regional2,2022,33944.0
Skill stream | Regional2,2023,32300.0
Skill stream | Regional2,2024,32948.0
Skill stream | Skilled Independent,2015,43994.0
Skill stream | Skilled Independent,2016,42422.0
Skill stream | Skilled Independent,2017,39137.0
Skill stream | Skilled Independent,2018,34247.0
Skill stream | Skilled Independent,2019,12986.0
Skill stream | Skilled Independent,2020,7213.0
Skill stream | Skilled Independent,2021,5864.0
Skill stream | Skilled Independent,2022,32100.0
Skill stream | Skilled Independent,2023,30375.0
Skill stream | Skilled Independent,2024,16900.0
Skill stream | Global Talent (Independent)3,2019,4109.0
Skill stream | Global Talent (Independent)3,2020,9584.0
Skill stream | Global Talent (Independent)3,2021,8776.0
Skill stream | Global Talent (Independent)3,2022,5000.0
Skill stream | Global Talent (Independent)3,2023,5000.0
Skill stream | Global Talent (Independent)3,2024,3975.0
Skill stream | Business Innovation & Investment4,2015,7260.0
Skill stream | Business Innovation & Investment4,2016,7260.0
Skill stream | Business Innovation & Investment4,2017,7260.0
Skill stream | Business Innovation & Investment4,2018,7261.0
Skill stream | Business Innovation & Investment4,2019,4420.0
Skill stream | Business Innovation & Investment4,2020,11198.0
