indicator,year,value
Outside Australia - primary applicant by gender | Female,2015,6175.0
Outside Australia - primary applicant by gender | Female,2016,5712.0
Outside Australia - primary applicant by gender | Female,2017,5686.0
Outside Australia - primary applicant by gender | Female,2018,5181.0
Outside Australia - primary applicant by gender | Female,2019,3136.0
Outside Australia - primary applicant by gender | Female,2020,1995.0
Outside Australia - primary applicant by gender | Female,2021,2466.0
Outside Australia - primary applicant by gender | Female,2022,5937.0
Outside Australia - primary applicant by gender | Female,2023,7323.0
Outside Australia - primary applicant by gender | Female,2024,6329.0
Outside Australia - primary applicant by gender | % Female,2015,30.384293657432465
Outside Australia - primary applicant by gender | % Female,2016,28.564284642696403
Outside Australia - primary applicant by gender | % Female,2017,29.242954124665705
Outside Australia - primary applicant by gender | % Female,2018,31.759946055293327
Outside Australia - primary applicant by gender | % Female,2019,35.00390668601406
Outside Australia - primary applicant by gender | % Female,2020,35.90066582688501
Outside Australia - primary applicant by gender | % Female,2021,32.731616671091054
Outside Australia - primary applicant by gender | % Female,2022,40.42075163398693
Outside Australia - primary applicant by gender | % Female,2023,45.19254505060479
Outside Australia - primary applicant by gender | % Female,2024,41.18297761582509
Outside Australia - primary applicant by gender | Male,2015,14148.0
Outside Australia - primary applicant by gender | Male,2016,14285.0
Outside Australia - primary applicant by gender | Male,2017,13758.0
Outside Australia - primary applicant by gender | Male,2018,11132.0
Outside Australia - primary applicant by gender | Male,2019,5823.0
Outside Australia - primary applicant by gender | Male,2020,3562.0
Outside Australia - primary applicant by gender | Male,2021,5068.0
Outside Australia - primary applicant by gender | Male,2022,8751.0
Outside Australia - primary applicant by gender | Male,2023,8881.0
Outside Australia - primary applicant by gender | Male,2024,9039.0
Outside Australia - primary applicant by gender | % Male,2015,69.61570634256753
Outside Australia - primary applicant by gender | % Male,2016,71.4357153573036
Outside Australia - primary applicant by gender | % Male,2017,70.75704587533428
Outside Australia - primary applicant by gender | % Male,2018,68.24005394470667
Outside Australia - primary applicant by gender | % Male,2019,64.99609331398594
Outside Australia - primary applicant by gender | % Male,2020,64.09933417311498
Outside Australia - primary applicant by gender | % Male,2021,67.26838332890894
Outside Australia - primary applicant by gender | % Male,2022,59.57924836601307
Outside Australia - primary applicant by gender | % Male,2023,54.80745494939521
Outside Australia - primary applicant by gender | % Male,2024,58.81702238417491
Outside Australia - primary applicant by gender | Total1,2015,20328.0
Outside Australia - primary applicant by gender | Total1,2016,20004.0
Outside Australia - primary applicant by gender | Total1,2017,19447.0
Outside Australia - primary applicant by gender | Total1,2018,16317.0
Outside Australia - primary applicant by gender | Total1,2019,8959.0
Outside Australia - primary applicant by gender | Total1,2020,5557.0
Outside Australia - primary applicant by gender | Total1,2021,7534.0
Outside Australia - primary applicant by gender | Total1,2022,14694.0
Outside Australia - primary applicant by gender | Total1,2023,16214.0
Outside Australia - primary applicant by gender | Total1,2024,15374.0
Outside Australia - secondary applicant by gender | Female,2015,20481.0
Outside Australia - secondary applicant by gender | Female,2016,21183.0
Outside Australia - secondary applicant by gender | Female,2017,21266.0
Outside Australia - secondary applicant by gender | Female,2018,18167.0
Outside Australia - secondary applicant by gender | Female,2019,11810.0
Outside Australia - secondary applicant by gender | Female,2020,9658.0
Outside Australia - secondary applicant by gender | Female,2021,12547.0
Outside Australia - secondary applicant by gender | Female,2022,19213.0
Outside Australia - secondary applicant by gender | Female,2023,20017.0
Outside Australia - secondary applicant by gender | Female,2024,20398.0
Outside Australia - secondary applicant by gender | % Female,2015,60.093304383545565
