indicator,year,value
0–14 years | Total,2020,1329
0–14 years | Total,2021,3741
0–14 years | Total,2022,4881
0–14 years | Total,2023,5516
0–14 years | Total,2024,5609
0–14 years | Female,2020,650
0–14 years | Female,2021,1814
0–14 years | Female,2022,2358
0–14 years | Female,2023,2737
0–14 years | Female,2024,2674
15–19 years | Total,2020,444
15–19 years | Total,2021,1180
15–19 years | Total,2022,1820
15–19 years | Total,2023,1942
15–19 years | Total,2024,1970
15–19 years | Female,2020,219
15–19 years | Female,2021,569
15–19 years | Female,2022,890
15–19 years | Female,2023,919
15–19 years | Female,2024,929
20–24 years | Total,2020,440
20–24 years | Total,2021,1060
20–24 years | Total,2022,1779
20–24 years | Total,2023,1724
20–24 years | Total,2024,1516
20–24 years | Female,2020,234
20–24 years | Female,2021,546
20–24 years | Female,2022,924
20–24 years | Female,2023,850
20–24 years | Female,2024,787
25–29 years | Total,2020,412
25–29 years | Total,2021,1162
25–29 years | Total,2022,1753
25–29 years | Total,2023,1507
25–29 years | Total,2024,1397
25–29 years | Female,2020,198
25–29 years | Female,2021,622
25–29 years | Female,2022,943
25–29 years | Female,2023,793
25–29 years | Female,2024,721
30–34 years | Total,2020,443
30–34 years | Total,2021,1132
30–34 years | Total,2022,1458
30–34 years | Total,2023,1358
30–34 years | Total,2024,1261
30–34 years | Female,2020,226
30–34 years | Female,2021,581
30–34 years | Female,2022,748
30–34 years | Female,2023,776
30–34 years | Female,2024,718
35–39 years | Total,2020,400
35–39 years | Total,2021,927
35–39 years | Total,2022,1109
35–39 years | Total,2023,1247
35–39 years | Total,2024,1233
35–39 years | Female,2020,201
35–39 years | Female,2021,429
35–39 years | Female,2022,549
35–39 years | Female,2023,685
35–39 years | Female,2024,664
40–44 years | Total,2020,294
40–44 years | Total,2021,667
40–44 years | Total,2022,825
40–44 years | Total,2023,1025
40–44 years | Total,2024,936
40–44 years | Female,2020,162
40–44 years | Female,2021,328
40–44 years | Female,2022,448
40–44 years | Female,2023,547
40–44 years | Female,2024,473
45–49 years | Total,2020,240
45–49 years | Total,2021,433
45–49 years | Total,2022,602
45–49 years | Total,2023,716
45–49 years | Total,2024,635
45–49 years | Female,2020,128
45–49 years | Female,2021,220
45–49 years | Female,2022,361
45–49 years | Female,2023,377
45–49 years | Female,2024,340
50–54 years | Total,2020,181
50–54 years | Total,2021,363
50–54 years | Total,2022,506
50–54 years | Total,2023,526
50–54 years | Total,2024,468
50–54 years | Female,2020,86
50–54 years | Female,2021,190
50–54 years | Female,2022,283
50–54 years | Female,2023,292
50–54 years | Female,2024,260
55–59 years | Total,2020,124
55–59 years | Total,2021,297
55–59 years | Total,2022,383
55–59 years | Total,2023,411
55–59 years | Total,2024,367
55–59 years | Female,2020,68
55–59 years | Female,2021,173
55–59 years | Female,2022,228
55–59 years | Female,2023,244
55–59 years | Female,2024,199
60 years and over | Total,2020,251
60 years and over | Total,2021,583
60 years and over | Total,2022,759
60 years and over | Total,2023,778
60 years and over | Total,2024,607
60 years and over | Female,2020,137
60 years and over | Female,2021,328
60 years and over | Female,2022,437
60 years and over | Female,2023,454
60 years and over | Female,2024,362
Total | Total1,2020,4558
Total | Total1,2021,11545
Total | Total1,2022,15875
Total | Total1,2023,16750
Total | Total1,2024,15999
Total | Female,2020,2309
Total | Female,2021,5800
Total | Female,2022,8169
Total | Female,2023,8674
Total | Female,2024,8127
