indicator,year,value
India,2022,927
India,2023,858
India,2024,606
People's Republic of China2,2022,1079
People's Republic of China2,2023,895
People's Republic of China2,2024,557
Malaysia,2022,579
Malaysia,2023,597
Malaysia,2024,479
New Zealand,2022,431
New Zealand,2023,378
New Zealand,2024,444
Indonesia,2022,240
Indonesia,2023,248
Indonesia,2024,384
United Kingdom,2022,330
United Kingdom,2023,377
United Kingdom,2024,267
Vietnam,2022,492
Vietnam,2023,396
Vietnam,2024,261
Colombia,2022,91
Colombia,2023,146
Colombia,2024,212
Philippines,2022,341
Philippines,2023,280
Philippines,2024,163
Fiji,2022,116
Fiji,2023,190
Fiji,2024,161
All other countries3,2022,3983
All other countries3,2023,3946
All other countries3,2024,3112
Total4,2022,8609
Total4,2023,8311
Total4,2024,6646
