indicator,year,value,category
15–19,0,-0.4295076368098625,Australian-born | Male
15–19,0,-0.4623341928322338,Australian-born | Female
15–19,0,-0.8918418296420962,Australian-born | Total
15–19,0,0.0663683392591125,Overseas-born | Male
15–19,0,0.0513460631176653,Overseas-born | Female
15–19,0,0.1177144023767779,Overseas-born | Total
15–19,0,-0.7741274272653182,Total all birth groups
20–24,0,-0.5343332082061544,Australian-born | Male
20–24,0,-0.6439408729444457,Australian-born | Female
20–24,0,-1.1782740811506,Australian-born | Total
20–24,0,0.2137037006957698,Overseas-born | Male
20–24,0,0.1833184610747066,Overseas-born | Female
20–24,0,0.3970221617704764,Overseas-born | Total
20–24,0,-0.7812519193801236,Total all birth groups
Change in demographic composition by age group (years) | 25–34,0,-1.1120587963945254,Australian-born | Male
Change in demographic composition by age group (years) | 25–34,0,-1.012649580151885,Australian-born | Female
Change in demographic composition by age group (years) | 25–34,0,-2.1247083765464105,Australian-born | Total
Change in demographic composition by age group (years) | 25–34,0,1.1833367041785552,Overseas-born | Male
Change in demographic composition by age group (years) | 25–34,0,0.8731173544663186,Overseas-born | Female
Change in demographic composition by age group (years) | 25–34,0,2.056454058644874,Overseas-born | Total
Change in demographic composition by age group (years) | 25–34,0,-0.0682543179015366,Total all birth groups
Change in demographic composition by age group (years) | 35–44,0,-1.6344448382676071,Australian-born | Male
Change in demographic composition by age group (years) | 35–44,0,-1.407859346928216,Australian-born | Female
Change in demographic composition by age group (years) | 35–44,0,-3.0423041851958232,Australian-born | Total
Change in demographic composition by age group (years) | 35–44,0,0.8787106031998816,Overseas-born | Male
Change in demographic composition by age group (years) | 35–44,0,0.7130734953775675,Overseas-born | Female
Change in demographic composition by age group (years) | 35–44,0,1.591784098577449,Overseas-born | Total
Change in demographic composition by age group (years) | 35–44,0,-1.4505200866183745,Total all birth groups
Change in demographic composition by age group (years) | 45–54,0,-1.2596763440606475,Australian-born | Male
Change in demographic composition by age group (years) | 45–54,0,-1.0227960349739216,Australian-born | Female
Change in demographic composition by age group (years) | 45–54,0,-2.2824723790345693,Australian-born | Total
Change in demographic composition by age group (years) | 45–54,0,0.00617787547996,Overseas-born | Male
Change in demographic composition by age group (years) | 45–54,0,0.0203843208163875,Overseas-born | Female
Change in demographic composition by age group (years) | 45–54,0,0.0265621962963475,Overseas-born | Total
Change in demographic composition by age group (years) | 45–54,0,-2.255910182738222,Total all birth groups
Change in demographic composition by age group (years) | 55–64,0,0.0511869678301498,Australian-born | Male
Change in demographic composition by age group (years) | 55–64,0,0.1313433316943874,Australian-born | Female
Change in demographic composition by age group (years) | 55–64,0,0.1825302995245372,Australian-born | Total
Change in demographic composition by age group (years) | 55–64,0,-0.1124976521761129,Overseas-born | Male
Change in demographic composition by age group (years) | 55–64,0,0.0018958404386835,Overseas-born | Female
Change in demographic composition by age group (years) | 55–64,0,-0.1106018117374293,Overseas-born | Total
Change in demographic composition by age group (years) | 55–64,0,0.0719284877871078,Total all birth groups
Change in demographic composition by age group (years) | 65+,0,0.2480832226437087,Australian-born | Male
Change in demographic composition by age group (years) | 65+,0,0.0864453708555599,Australian-born | Female
Change in demographic composition by age group (years) | 65+,0,0.3345285934992687,Australian-born | Total
Change in demographic composition by age group (years) | 65+,0,0.0869559130014595,Overseas-born | Male
Change in demographic composition by age group (years) | 65+,0,0.0483979322989521,Overseas-born | Female
Change in demographic composition by age group (years) | 65+,0,0.1353538453004117,Overseas-born | Total
Change in demographic composition by age group (years) | 65+,0,0.4698824387996804,Total all birth groups
Change in demographic composition by age group (years) | All age groups,0,-4.670750633264938,Australian-born | Male
Change in demographic composition by age group (years) | All age groups,0,-4.331791325280754,Australian-born | Female
Change in demographic composition by age group (years) | All age groups,0,-9.002541958545692,Australian-born | Total
Change in demographic composition by age group (years) | All age groups,0,2.322755483638626,Overseas-born | Male
Change in demographic composition by age group (years) | All age groups,0,1.891533467590281,Overseas-born | Female
Change in demographic composition by age group (years) | All age groups,0,4.214288951228907,Overseas-born | Total
Change in demographic composition by age group (years) | All age groups,0,-4.788253007316785,Total all birth groups
Change in demographic composition by age group (years) | 15–19,0,-0.0804974797232132,Australian-born | Male
Change in demographic composition by age group (years) | 15–19,0,-0.0500563921266658,Australian-born | Female
Change in demographic composition by age group (years) | 15–19,0,-0.1305538718498791,Australian-born | Total
Change in demographic composition by age group (years) | 15–19,0,0.0287126674859707,Overseas-born | Male
Change in demographic composition by age group (years) | 15–19,0,0.0169382522245614,Overseas-born | Female
Change in demographic composition by age group (years) | 15–19,0,0.0456509197105321,Overseas-born | Total
Change in demographic composition by age group (years) | 15–19,0,-0.084902952139347,Total all birth groups
Change in demographic composition by age group (years) | 20–24,0,-0.0761165707888134,Australian-born | Male
Change in demographic composition by age group (years) | 20–24,0,0.0837011623566468,Australian-born | Female
Change in demographic composition by age group (years) | 20–24,0,0.0075845915678333,Australian-born | Total
Change in demographic composition by age group (years) | 20–24,0,0.0746301783141844,Overseas-born | Male
Change in demographic composition by age group (years) | 20–24,0,0.1152623639567146,Overseas-born | Female
Change in demographic composition by age group (years) | 20–24,0,0.189892542270899,Overseas-born | Total
Change in demographic composition by age group (years) | 20–24,0,0.1974771338387324,Total all birth groups
Change in propensity to participate by age group (years) | 25–34,0,-0.1125988793492872,Australian-born | Male
Change in propensity to participate by age group (years) | 25–34,0,0.6053347525911799,Australian-born | Female
Change in propensity to participate by age group (years) | 25–34,0,0.4927358732418926,Australian-born | Total
Change in propensity to participate by age group (years) | 25–34,0,0.088490158345557,Overseas-born | Male
Change in propensity to participate by age group (years) | 25–34,0,0.4736405308535188,Overseas-born | Female
Change in propensity to participate by age group (years) | 25–34,0,0.5621306891990758,Overseas-born | Total
Change in propensity to participate by age group (years) | 25–34,0,1.0548665624409683,Total all birth groups
Change in propensity to participate by age group (years) | 35–44,0,-0.0293641217575435,Australian-born | Male
Change in propensity to participate by age group (years) | 35–44,0,0.552954711602828,Australian-born | Female
Change in propensity to participate by age group (years) | 35–44,0,0.5235905898452845,Australian-born | Total
Change in propensity to participate by age group (years) | 35–44,0,0.1156181183547409,Overseas-born | Male
Change in propensity to participate by age group (years) | 35–44,0,0.5600115872393095,Overseas-born | Female
Change in propensity to participate by age group (years) | 35–44,0,0.6756297055940504,Overseas-born | Total
Change in propensity to participate by age group (years) | 35–44,0,1.199220295439335,Total all birth groups
Change in propensity to participate by age group (years) | 45–54,0,-0.0560797887562548,Australian-born | Male
Change in propensity to participate by age group (years) | 45–54,0,0.3207279696768945,Australian-born | Female
Change in propensity to participate by age group (years) | 45–54,0,0.2646481809206396,Australian-born | Total
Change in propensity to participate by age group (years) | 45–54,0,0.1223755647948898,Overseas-born | Male
Change in propensity to participate by age group (years) | 45–54,0,0.2635424630967481,Overseas-born | Female
Change in propensity to participate by age group (years) | 45–54,0,0.385918027891638,Overseas-born | Total
Change in propensity to participate by age group (years) | 45–54,0,0.6505662088122777,Total all birth groups
Change in propensity to participate by age group (years) | 55–64,0,0.3841063923112555,Australian-born | Male
Change in propensity to participate by age group (years) | 55–64,0,0.9249353573803678,Australian-born | Female
Change in propensity to participate by age group (years) | 55–64,0,1.3090417496916231,Australian-born | Total
Change in propensity to participate by age group (years) | 55–64,0,0.2266132905268494,Overseas-born | Male
Change in propensity to participate by age group (years) | 55–64,0,0.519062334065416,Overseas-born | Female
Change in propensity to participate by age group (years) | 55–64,0,0.7456756245922654,Overseas-born | Total
Change in propensity to participate by age group (years) | 55–64,0,2.054717374283889,Total all birth groups
Change in propensity to participate by age group (years) | 65+,0,0.4985359479556387,Australian-born | Male
Change in propensity to participate by age group (years) | 65+,0,0.6825612409154621,Australian-born | Female
Change in propensity to participate by age group (years) | 65+,0,1.1810971888711008,Australian-born | Total
Change in propensity to participate by age group (years) | 65+,0,0.3423665319872986,Overseas-born | Male
Change in propensity to participate by age group (years) | 65+,0,0.3068530780023946,Overseas-born | Female
Change in propensity to participate by age group (years) | 65+,0,0.6492196099896932,Overseas-born | Total
Change in propensity to participate by age group (years) | 65+,0,1.830316798860794,Total all birth groups
Change in propensity to participate by age group (years) | All age groups,0,0.5279854998917819,Australian-born | Male
Change in propensity to participate by age group (years) | All age groups,0,3.120158802396713,Australian-born | Female
Change in propensity to participate by age group (years) | All age groups,0,3.648144302288495,Australian-born | Total
Change in propensity to participate by age group (years) | All age groups,0,0.9988065098094911,Overseas-born | Male
Change in propensity to participate by age group (years) | All age groups,0,2.2553106094386632,Overseas-born | Female
Change in propensity to participate by age group (years) | All age groups,0,3.2541171192481544,Overseas-born | Total
Change in propensity to participate by age group (years) | All age groups,0,6.902261421536649,Total all birth groups
Total change | nan,0,-4.142765133373157,Australian-born | Male
Total change | nan,0,-1.2116325228840412,Australian-born | Female
Total change | nan,0,-5.354397656257197,Australian-born | Total
Total change | nan,0,3.321561993448117,Overseas-born | Male
Total change | nan,0,4.146844077028945,Overseas-born | Female
Total change | nan,0,7.468406070477061,Overseas-born | Total
Total change | nan,0,2.1140084142198647,Total all birth groups
