indicator_id,indicator_name,category
1_0_skill_stream,Skill stream,1_0
1_0_family_stream1,Family stream1,1_0
1_0_child_stream2,Child stream2,1_0
1_0_special_eligibility,Special Eligibility,1_0
1_0_total3,Total3,1_0
1_1_employer_sponsored1,Employer Sponsored1,1_1
1_1_stateterritory_nominated,State/Territory Nominated,1_1
1_1_regional2,Regional2,1_1
1_1_skilled_independent,Skilled Independent,1_1
1_1_global_talent_independent3,Global Talent (Independent)3,1_1
1_1_business_innovation_investment4,Business Innovation & Investment4,1_1
1_1_distinguished_talent,Distinguished Talent,1_1
1_1_national_innovation5,National Innovation5,1_1
1_1_skilled_regional6,Skilled Regional6,1_1
1_1_skill_stream_total,Skill stream total,1_1
1_1_partner7,Partner7,1_1
1_1_parent,Parent,1_1
1_1_child8,Child8,1_1
1_1_other_family9,Other Family9,1_1
1_1_family_stream_total10,Family stream total10,1_1
1_1_child_stream_total,Child stream total,1_1
1_1_special_eligibility_total,Special Eligibility total,1_1
1_1_total10,Total10,1_1
1_10_india,India,1_10
1_10_peoples_republic_of_china1,People's Republic of China1,1_10
1_10_united_kingdom,United Kingdom,1_10
1_10_nepal,Nepal,1_10
1_10_pakistan,Pakistan,1_10
1_10_philippines,Philippines,1_10
1_10_sri_lanka,Sri Lanka,1_10
1_10_hong_kong_sar_of_the_prc2,Hong Kong (SAR of the PRC)2,1_10
1_10_ireland,Ireland,1_10
1_10_malaysia,Malaysia,1_10
1_10_iran,Iran,1_10
1_10_vietnam,Vietnam,1_10
1_10_south_africa,South Africa,1_10
1_10_brazil,Brazil,1_10
1_10_singapore,Singapore,1_10
1_10_other3,Other3,1_10
1_10_total,Total,1_10
1_12_india,India,1_12
1_12_pakistan,Pakistan,1_12
1_12_philippines,Philippines,1_12
1_12_sri_lanka,Sri Lanka,1_12
1_12_nepal,Nepal,1_12
1_12_peoples_republic_of_china2,People's Republic of China2,1_12
1_12_united_kingdom,United Kingdom,1_12
1_12_iran,Iran,1_12
1_12_bangladesh,Bangladesh,1_12
1_12_zimbabwe,Zimbabwe,1_12
1_12_south_africa,South Africa,1_12
1_12_nigeria,Nigeria,1_12
1_12_kenya,Kenya,1_12
1_12_vietnam,Vietnam,1_12
1_12_egypt,Egypt,1_12
1_12_other3,Other3,1_12
1_12_total,Total,1_12
1_13_industrial_mechanical_and_production_engineers,"Industrial, Mechanical and Production Engineers",1_13
1_13_civil_engineering_professionals,Civil Engineering Professionals,1_13
1_13_electronics_engineers,Electronics Engineers,1_13
1_13_registered_nurses,Registered Nurses,1_13
1_13_electrical_engineers,Electrical Engineers,1_13
1_13_tele_communications_engineering_professionals,"Tele-
communications Engineering Professionals",1_13
1_13_motor_mechanics,Motor Mechanics,1_13
1_13_chemical_and_materials_engineers,Chemical and Materials Engineers,1_13
1_13_software_and_applications_programmers,Software and Applications Programmers,1_13
1_13_database_and_systems_administrators_and_ict_security_specialists2,"Database and Systems Administrators, and ICT Security Specialists2",1_13
1_13_other,Other,1_13
1_13_total,Total,1_13
1_15_india,India,1_15
1_15_peoples_republic_of_china2,People's Republic of China2,1_15
1_15_hong_kong_sar_of_the_prc3,Hong Kong (SAR of the PRC)3,1_15
1_15_pakistan,Pakistan,1_15
1_15_vietnam,Vietnam,1_15
1_15_united_states_of_america,United States of America,1_15
1_15_iran,Iran,1_15
1_15_taiwan,Taiwan,1_15
1_15_united_kingdom,United Kingdom,1_15
1_15_singapore,Singapore,1_15
1_15_bangladesh,Bangladesh,1_15
1_15_sri_lanka,Sri Lanka,1_15
1_15_israel,Israel,1_15
1_15_south_africa,South Africa,1_15
1_15_russian_federation,Russian Federation,1_15
1_15_other4,Other4,1_15
1_15_total,Total,1_15
1_16_peoples_republic_of_china1,People's Republic of China1,1_16
1_16_india,India,1_16
1_16_afghanistan,Afghanistan,1_16
1_16_philippines,Philippines,1_16
1_16_vietnam,Vietnam,1_16
1_16_pakistan,Pakistan,1_16
1_16_united_kingdom,United Kingdom,1_16
1_16_thailand,Thailand,1_16
1_16_united_states_of_america,United States of America,1_16
1_16_lebanon,Lebanon,1_16
1_16_sri_lanka,Sri Lanka,1_16
1_16_indonesia,Indonesia,1_16
1_16_nepal,Nepal,1_16
1_16_iraq,Iraq,1_16
1_16_colombia,Colombia,1_16
1_16_other2,Other2,1_16
1_16_total,Total,1_16
1_18_regional1,Regional1,1_18
1_18_stateterritory_nominated,State/Territory Nominated,1_18
1_18_employer_sponsored,Employer Sponsored,1_18
1_18_skilled_independent,Skilled Independent,1_18
1_18_global_talent_independent2,Global Talent (Independent)2,1_18
1_18_business_innovation_and_investment3,Business Innovation and Investment3,1_18
1_18_distinguished_talent,Distinguished Talent,1_18
1_18_skilled_regional4,Skilled Regional4,1_18
1_18_skill_stream_total,Skill stream total,1_18
1_18_partner,Partner,1_18
1_18_all_other_family_stream_visas5,"All other
Family stream visas5",1_18
1_18_family_stream_total,Family stream total,1_18
1_18_special_eligibility_total,Special Eligibility total,1_18
1_18_child_stream_total,Child stream total,1_18
1_18_total,Total,1_18
1_2_female,Female,1_2
1_2__female,% Female,1_2
1_2_male,Male,1_2
1_2__male,% Male,1_2
1_2_total1,Total1,1_2
1_2_female_1,Female_1,1_2
1_2__female_1,% Female_1,1_2
1_2_male_1,Male_1,1_2
1_2__male_1,% Male_1,1_2
1_2_total1_1,Total1_1,1_2
1_2_female_2,Female_2,1_2
1_2__female_2,% Female_2,1_2
1_2_male_2,Male_2,1_2
1_2__male_2,% Male_2,1_2
1_2_total1_2,Total1_2,1_2
1_2_female_3,Female_3,1_2
1_2__female_3,% Female_3,1_2
1_2_male_3,Male_3,1_2
1_2__male_3,% Male_3,1_2
1_2_total1_3,Total1_3,1_2
1_2_female_4,Female_4,1_2
1_2__female_4,% Female_4,1_2
1_2_male_4,Male_4,1_2
1_2__male_4,% Male_4,1_2
1_2_total1_4,Total1_4,1_2
1_2_female_5,Female_5,1_2
1_2__female_5,% Female_5,1_2
1_2_male_5,Male_5,1_2
1_2__male_5,% Male_5,1_2
1_2_total1_5,Total1_5,1_2
1_2_outside_australia,Outside Australia,1_2
1_2__outside_australia,% Outside Australia,1_2
1_2_in_australia,In Australia,1_2
1_2__in_australia,% In Australia,1_2
1_2_total,Total,1_2
1_3_india,India,1_3
1_3_united_kingdom,United Kingdom,1_3
1_3_philippines,Philippines,1_3
1_3_south_africa,South Africa,1_3
1_3_sri_lanka,Sri Lanka,1_3
1_3_peoples_republic_of_china1,People's Republic of China1,1_3
1_3_nepal,Nepal,1_3
1_3_ireland,Ireland,1_3
1_3_brazil,Brazil,1_3
1_3_pakistan,Pakistan,1_3
1_3_republic_of_korea,Republic of Korea,1_3
1_3_italy,Italy,1_3
1_3_zimbabwe,Zimbabwe,1_3
1_3_colombia,Colombia,1_3
1_3_vietnam,Vietnam,1_3
1_3_other2,Other2,1_3
1_3_total,Total,1_3
1_4_accommodation_and_food_services,Accommodation and Food Services,1_4
1_4_administrative_and_support_services,Administrative and Support Services,1_4
1_4_agriculture_forestry_and_fishing,"Agriculture, Forestry and Fishing",1_4
