Year,variable,value,sheet
2015–16,Skill stream | Employer Sponsored1,48250.0,1.1
2016–17,Skill stream | Employer Sponsored1,48250.0,1.1
2017–18,Skill stream | Employer Sponsored1,35528.0,1.1
2018–19,Skill stream | Employer Sponsored1,42012.0,1.1
2019–20,Skill stream | Employer Sponsored1,29261.0,1.1
2020–21,Skill stream | Employer Sponsored1,23503.0,1.1
2021–22,Skill stream | Employer Sponsored1,26103.0,1.1
2022–23,Skill stream | Employer Sponsored1,35000.0,1.1
2023–24,Skill stream | Employer Sponsored1,36825.0,1.1
2024–25,Skill stream | Employer Sponsored1,44000.0,1.1
2015–16,Skill stream | State/Territory Nominated,24650.0,1.1
2016–17,Skill stream | State/Territory Nominated,23765.0,1.1
2017–18,Skill stream | State/Territory Nominated,27400.0,1.1
2018–19,Skill stream | State/Territory Nominated,25346.0,1.1
2019–20,Skill stream | State/Territory Nominated,21495.0,1.1
2020–21,Skill stream | State/Territory Nominated,14268.0,1.1
2021–22,Skill stream | State/Territory Nominated,19376.0,1.1
2022–23,Skill stream | State/Territory Nominated,31000.0,1.1
2023–24,Skill stream | State/Territory Nominated,30400.0,1.1
2024–25,Skill stream | State/Territory Nominated,33000.0,1.1
2015–16,Skill stream | Regional2,,1.1
2016–17,Skill stream | Regional2,,1.1
2017–18,Skill stream | Regional2,,1.1
2018–19,Skill stream | Regional2,,1.1
2019–20,Skill stream | Regional2,23372.0,1.1
2020–21,Skill stream | Regional2,13585.0,1.1
2021–22,Skill stream | Regional2,18223.0,1.1
2022–23,Skill stream | Regional2,33944.0,1.1
2023–24,Skill stream | Regional2,32300.0,1.1
2024–25,Skill stream | Regional2,32948.0,1.1
2015–16,Skill stream | Skilled Independent,43994.0,1.1
2016–17,Skill stream | Skilled Independent,42422.0,1.1
2017–18,Skill stream | Skilled Independent,39137.0,1.1
2018–19,Skill stream | Skilled Independent,34247.0,1.1
2019–20,Skill stream | Skilled Independent,12986.0,1.1
2020–21,Skill stream | Skilled Independent,7213.0,1.1
2021–22,Skill stream | Skilled Independent,5864.0,1.1
2022–23,Skill stream | Skilled Independent,32100.0,1.1
2023–24,Skill stream | Skilled Independent,30375.0,1.1
2024–25,Skill stream | Skilled Independent,16900.0,1.1
2015–16,Skill stream | Global Talent (Independent)3,,1.1
2016–17,Skill stream | Global Talent (Independent)3,,1.1
2017–18,Skill stream | Global Talent (Independent)3,,1.1
2018–19,Skill stream | Global Talent (Independent)3,,1.1
2019–20,Skill stream | Global Talent (Independent)3,4109.0,1.1
2020–21,Skill stream | Global Talent (Independent)3,9584.0,1.1
2021–22,Skill stream | Global Talent (Independent)3,8776.0,1.1
2022–23,Skill stream | Global Talent (Independent)3,5000.0,1.1
2023–24,Skill stream | Global Talent (Independent)3,5000.0,1.1
2024–25,Skill stream | Global Talent (Independent)3,3975.0,1.1
2015–16,Skill stream | Business Innovation & Investment4,7260.0,1.1
2016–17,Skill stream | Business Innovation & Investment4,7260.0,1.1
2017–18,Skill stream | Business Innovation & Investment4,7260.0,1.1
2018–19,Skill stream | Business Innovation & Investment4,7261.0,1.1
2019–20,Skill stream | Business Innovation & Investment4,4420.0,1.1
2020–21,Skill stream | Business Innovation & Investment4,11198.0,1.1
2021–22,Skill stream | Business Innovation & Investment4,10496.0,1.1
2022–23,Skill stream | Business Innovation & Investment4,5000.0,1.1
2023–24,Skill stream | Business Innovation & Investment4,1900.0,1.1
2024–25,Skill stream | Business Innovation & Investment4,1000.0,1.1
2015–16,Skill stream | Distinguished Talent,200.0,1.1
2016–17,Skill stream | Distinguished Talent,200.0,1.1
2017–18,Skill stream | Distinguished Talent,200.0,1.1
2018–19,Skill stream | Distinguished Talent,200.0,1.1
2019–20,Skill stream | Distinguished Talent,200.0,1.1
2020–21,Skill stream | Distinguished Talent,269.0,1.1
2021–22,Skill stream | Distinguished Talent,225.0,1.1
2022–23,Skill stream | Distinguished Talent,300.0,1.1
2023–24,Skill stream | Distinguished Talent,300.0,1.1
2024–25,Skill stream | Distinguished Talent,300.0,1.1
2015–16,Skill stream | National Innovation5,,1.1
2016–17,Skill stream | National Innovation5,,1.1
2017–18,Skill stream | National Innovation5,,1.1
2018–19,Skill stream | National Innovation5,,1.1
2019–20,Skill stream | National Innovation5,,1.1
2020–21,Skill stream | National Innovation5,,1.1
2021–22,Skill stream | National Innovation5,,1.1
