Year2,variable,value,sheet
2015–16,Registered Nurses,2632.0,1.11
2016–17,Registered Nurses,2262.0,1.11
2017–18,Registered Nurses,1566.0,1.11
2018–19,Registered Nurses,981.0,1.11
2019–20,Registered Nurses,384.0,1.11
2020–21,Registered Nurses,223.0,1.11
2021–22,Registered Nurses,123.0,1.11
2022–23,Registered Nurses,5360.0,1.11
2023–24,Registered Nurses,5278.0,1.11
2024–25,Registered Nurses,1467.0,1.11
2015–16,Early Childhood (Pre-primary School) Teachers,160.0,1.11
2016–17,Early Childhood (Pre-primary School) Teachers,188.0,1.11
2017–18,Early Childhood (Pre-primary School) Teachers,132.0,1.11
2018–19,Early Childhood (Pre-primary School) Teachers,155.0,1.11
2019–20,Early Childhood (Pre-primary School) Teachers,30.0,1.11
2020–21,Early Childhood (Pre-primary School) Teachers,6.0,1.11
2021–22,Early Childhood (Pre-primary School) Teachers,16.0,1.11
2022–23,Early Childhood (Pre-primary School) Teachers,813.0,1.11
2023–24,Early Childhood (Pre-primary School) Teachers,756.0,1.11
2024–25,Early Childhood (Pre-primary School) Teachers,951.0,1.11
2015–16,Civil Engineering Professionals,1054.0,1.11
2016–17,Civil Engineering Professionals,1219.0,1.11
2017–18,Civil Engineering Professionals,1057.0,1.11
2018–19,Civil Engineering Professionals,822.0,1.11
2019–20,Civil Engineering Professionals,227.0,1.11
2020–21,Civil Engineering Professionals,183.0,1.11
2021–22,Civil Engineering Professionals,38.0,1.11
2022–23,Civil Engineering Professionals,432.0,1.11
2023–24,Civil Engineering Professionals,741.0,1.11
2024–25,Civil Engineering Professionals,676.0,1.11
2015–16,Carpenters and Joiners,148.0,1.11
2016–17,Carpenters and Joiners,102.0,1.11
2017–18,Carpenters and Joiners,41.0,1.11
2018–19,Carpenters and Joiners,16.0,1.11
2019–20,Carpenters and Joiners,5.0,1.11
2020–21,Carpenters and Joiners,0.0,1.11
2021–22,Carpenters and Joiners,0.0,1.11
2022–23,Carpenters and Joiners,,1.11
2023–24,Carpenters and Joiners,89.0,1.11
2024–25,Carpenters and Joiners,666.0,1.11
2015–16,Architects and Landscape Architects,303.0,1.11
2016–17,Architects and Landscape Architects,294.0,1.11
2017–18,Architects and Landscape Architects,255.0,1.11
2018–19,Architects and Landscape Architects,199.0,1.11
2019–20,Architects and Landscape Architects,43.0,1.11
2020–21,Architects and Landscape Architects,20.0,1.11
2021–22,Architects and Landscape Architects,5.0,1.11
2022–23,Architects and Landscape Architects,82.0,1.11
2023–24,Architects and Landscape Architects,173.0,1.11
2024–25,Architects and Landscape Architects,605.0,1.11
2015–16,Civil Engineering Draftspersons and Technicians,50.0,1.11
2016–17,Civil Engineering Draftspersons and Technicians,76.0,1.11
2017–18,Civil Engineering Draftspersons and Technicians,52.0,1.11
2018–19,Civil Engineering Draftspersons and Technicians,53.0,1.11
2019–20,Civil Engineering Draftspersons and Technicians,12.0,1.11
2020–21,Civil Engineering Draftspersons and Technicians,11.0,1.11
2021–22,Civil Engineering Draftspersons and Technicians,5.0,1.11
2022–23,Civil Engineering Draftspersons and Technicians,173.0,1.11
2023–24,Civil Engineering Draftspersons and Technicians,199.0,1.11
2024–25,Civil Engineering Draftspersons and Technicians,584.0,1.11
2015–16,Painting Trades Workers,26.0,1.11
2016–17,Painting Trades Workers,13.0,1.11
2017–18,Painting Trades Workers,,1.11
2018–19,Painting Trades Workers,,1.11
2019–20,Painting Trades Workers,0.0,1.11
2020–21,Painting Trades Workers,,1.11
2021–22,Painting Trades Workers,0.0,1.11
2022–23,Painting Trades Workers,,1.11
2023–24,Painting Trades Workers,111.0,1.11
2024–25,Painting Trades Workers,472.0,1.11
2015–16,Software and Applications Programmers,4185.0,1.11
2016–17,Software and Applications Programmers,4170.0,1.11
2017–18,Software and Applications Programmers,3496.0,1.11
2018–19,Software and Applications Programmers,3460.0,1.11
2019–20,Software and Applications Programmers,987.0,1.11
2020–21,Software and Applications Programmers,418.0,1.11
2021–22,Software and Applications Programmers,151.0,1.11
2022–23,Software and Applications Programmers,151.0,1.11
2023–24,Software and Applications Programmers,1082.0,1.11
2024–25,Software and Applications Programmers,421.0,1.11
2015–16,Chefs,94.0,1.11
2016–17,Chefs,92.0,1.11
2017–18,Chefs,84.0,1.11
2018–19,Chefs,31.0,1.11
2019–20,Chefs,7.0,1.11
2020–21,Chefs,8.0,1.11
2021–22,Chefs,,1.11
2022–23,Chefs,87.0,1.11
2023–24,Chefs,1125.0,1.11
2024–25,Chefs,329.0,1.11
2015–16,Secondary School Teachers,502.0,1.11
2016–17,Secondary School Teachers,439.0,1.11
2017–18,Secondary School Teachers,321.0,1.11
2018–19,Secondary School Teachers,271.0,1.11
2019–20,Secondary School Teachers,54.0,1.11
2020–21,Secondary School Teachers,18.0,1.11
2021–22,Secondary School Teachers,24.0,1.11
2022–23,Secondary School Teachers,563.0,1.11
2023–24,Secondary School Teachers,548.0,1.11
2024–25,Secondary School Teachers,305.0,1.11
2015–16,Other3,14105.0,1.11
2016–17,Other3,12812.0,1.11
2017–18,Other3,12299.0,1.11
2018–19,Other3,11029.0,1.11
2019–20,Other3,4551.0,1.11
2020–21,Other3,3196.0,1.11
2021–22,Other3,2509.0,1.11
2022–23,Other3,9605.0,1.11
2023–24,Other3,8512.0,1.11
2024–25,Other3,4712.0,1.11
2015–16,Total,23259.0,1.11
2016–17,Total,21667.0,1.11
2017–18,Total,19303.0,1.11
2018–19,Total,17017.0,1.11
2019–20,Total,6300.0,1.11
2020–21,Total,4083.0,1.11
2021–22,Total,2871.0,1.11
2022–23,Total,17266.0,1.11
2023–24,Total,18614.0,1.11
2024–25,Total,11188.0,1.11
