Year,variable,value,sheet
2015–16,Outside Australia - primary applicant by gender | Female,6175.0,1.2
2016–17,Outside Australia - primary applicant by gender | Female,5712.0,1.2
2017–18,Outside Australia - primary applicant by gender | Female,5686.0,1.2
2018–19,Outside Australia - primary applicant by gender | Female,5181.0,1.2
2019–20,Outside Australia - primary applicant by gender | Female,3136.0,1.2
2020–21,Outside Australia - primary applicant by gender | Female,1995.0,1.2
2021–22,Outside Australia - primary applicant by gender | Female,2466.0,1.2
2022–23,Outside Australia - primary applicant by gender | Female,5937.0,1.2
2023–24,Outside Australia - primary applicant by gender | Female,7323.0,1.2
2024–25,Outside Australia - primary applicant by gender | Female,6329.0,1.2
2015–16,Outside Australia - primary applicant by gender | % Female,30.384293657432465,1.2
2016–17,Outside Australia - primary applicant by gender | % Female,28.564284642696403,1.2
2017–18,Outside Australia - primary applicant by gender | % Female,29.242954124665705,1.2
2018–19,Outside Australia - primary applicant by gender | % Female,31.759946055293327,1.2
2019–20,Outside Australia - primary applicant by gender | % Female,35.00390668601406,1.2
2020–21,Outside Australia - primary applicant by gender | % Female,35.90066582688501,1.2
2021–22,Outside Australia - primary applicant by gender | % Female,32.731616671091054,1.2
2022–23,Outside Australia - primary applicant by gender | % Female,40.42075163398693,1.2
2023–24,Outside Australia - primary applicant by gender | % Female,45.192545050604785,1.2
2024–25,Outside Australia - primary applicant by gender | % Female,41.18297761582509,1.2
2015–16,Outside Australia - primary applicant by gender | Male,14148.0,1.2
2016–17,Outside Australia - primary applicant by gender | Male,14285.0,1.2
2017–18,Outside Australia - primary applicant by gender | Male,13758.0,1.2
2018–19,Outside Australia - primary applicant by gender | Male,11132.0,1.2
2019–20,Outside Australia - primary applicant by gender | Male,5823.0,1.2
2020–21,Outside Australia - primary applicant by gender | Male,3562.0,1.2
2021–22,Outside Australia - primary applicant by gender | Male,5068.0,1.2
2022–23,Outside Australia - primary applicant by gender | Male,8751.0,1.2
2023–24,Outside Australia - primary applicant by gender | Male,8881.0,1.2
2024–25,Outside Australia - primary applicant by gender | Male,9039.0,1.2
2015–16,Outside Australia - primary applicant by gender | % Male,69.61570634256753,1.2
