Year,variable,value,sheet
2015–16,Software and Applications Programmers,1436,1.9
2016–17,Software and Applications Programmers,1412,1.9
2017–18,Software and Applications Programmers,1712,1.9
2018–19,Software and Applications Programmers,1431,1.9
2019–20,Software and Applications Programmers,956,1.9
2020–21,Software and Applications Programmers,1141,1.9
2021–22,Software and Applications Programmers,1277,1.9
2022–23,Software and Applications Programmers,1247,1.9
2023–24,Software and Applications Programmers,1507,1.9
2024–25,Software and Applications Programmers,1561,1.9
2015–16,Accountants,1542,1.9
2016–17,Accountants,1308,1.9
2017–18,Accountants,1342,1.9
2018–19,Accountants,1414,1.9
2019–20,Accountants,1726,1.9
2020–21,Accountants,863,1.9
2021–22,Accountants,673,1.9
2022–23,Accountants,941,1.9
2023–24,Accountants,863,1.9
2024–25,Accountants,1274,1.9
2015–16,ICT Business and Systems Analysts2,559,1.9
2016–17,ICT Business and Systems Analysts2,616,1.9
2017–18,ICT Business and Systems Analysts2,520,1.9
2018–19,ICT Business and Systems Analysts2,510,1.9
2019–20,ICT Business and Systems Analysts2,433,1.9
2020–21,ICT Business and Systems Analysts2,416,1.9
2021–22,ICT Business and Systems Analysts2,551,1.9
2022–23,ICT Business and Systems Analysts2,576,1.9
2023–24,ICT Business and Systems Analysts2,688,1.9
2024–25,ICT Business and Systems Analysts2,1132,1.9
2015–16,Civil Engineering Professionals,378,1.9
2016–17,Civil Engineering Professionals,320,1.9
2017–18,Civil Engineering Professionals,385,1.9
2018–19,Civil Engineering Professionals,432,1.9
2019–20,Civil Engineering Professionals,438,1.9
2020–21,Civil Engineering Professionals,372,1.9
2021–22,Civil Engineering Professionals,601,1.9
2022–23,Civil Engineering Professionals,797,1.9
2023–24,Civil Engineering Professionals,821,1.9
2024–25,Civil Engineering Professionals,1128,1.9
2015–16,"Industrial, Mechanical and Production Engineers",172,1.9
2016–17,"Industrial, Mechanical and Production Engineers",108,1.9
2017–18,"Industrial, Mechanical and Production Engineers",273,1.9
2018–19,"Industrial, Mechanical and Production Engineers",246,1.9
2019–20,"Industrial, Mechanical and Production Engineers",193,1.9
2020–21,"Industrial, Mechanical and Production Engineers",313,1.9
2021–22,"Industrial, Mechanical and Production Engineers",458,1.9
2022–23,"Industrial, Mechanical and Production Engineers",686,1.9
2023–24,"Industrial, Mechanical and Production Engineers",550,1.9
2024–25,"Industrial, Mechanical and Production Engineers",884,1.9
2015–16,Registered Nurses,731,1.9
2016–17,Registered Nurses,548,1.9
2017–18,Registered Nurses,932,1.9
2018–19,Registered Nurses,1476,1.9
2019–20,Registered Nurses,2468,1.9
2020–21,Registered Nurses,1537,1.9
2021–22,Registered Nurses,2859,1.9
2022–23,Registered Nurses,2855,1.9
2023–24,Registered Nurses,2021,1.9
2024–25,Registered Nurses,846,1.9
2015–16,Chefs,89,1.9
2016–17,Chefs,96,1.9
2017–18,Chefs,170,1.9
2018–19,Chefs,298,1.9
2019–20,Chefs,166,1.9
2020–21,Chefs,172,1.9
2021–22,Chefs,425,1.9
2022–23,Chefs,668,1.9
2023–24,Chefs,510,1.9
2024–25,Chefs,636,1.9
2015–16,Electrical Engineers,130,1.9
2016–17,Electrical Engineers,95,1.9
2017–18,Electrical Engineers,138,1.9
2018–19,Electrical Engineers,246,1.9
2019–20,Electrical Engineers,111,1.9
2020–21,Electrical Engineers,123,1.9
2021–22,Electrical Engineers,147,1.9
2022–23,Electrical Engineers,305,1.9
2023–24,Electrical Engineers,346,1.9
2024–25,Electrical Engineers,540,1.9
2015–16,Other Engineering Professionals,125,1.9
2016–17,Other Engineering Professionals,211,1.9
2017–18,Other Engineering Professionals,362,1.9
2018–19,Other Engineering Professionals,326,1.9
2019–20,Other Engineering Professionals,546,1.9
2020–21,Other Engineering Professionals,344,1.9
2021–22,Other Engineering Professionals,273,1.9
2022–23,Other Engineering Professionals,525,1.9
2023–24,Other Engineering Professionals,500,1.9
2024–25,Other Engineering Professionals,516,1.9
2015–16,Early Childhood (Pre-primary School) Teachers,29,1.9
2016–17,Early Childhood (Pre-primary School) Teachers,24,1.9
2017–18,Early Childhood (Pre-primary School) Teachers,61,1.9
2018–19,Early Childhood (Pre-primary School) Teachers,77,1.9
2019–20,Early Childhood (Pre-primary School) Teachers,115,1.9
2020–21,Early Childhood (Pre-primary School) Teachers,58,1.9
2021–22,Early Childhood (Pre-primary School) Teachers,212,1.9
2022–23,Early Childhood (Pre-primary School) Teachers,749,1.9
2023–24,Early Childhood (Pre-primary School) Teachers,598,1.9
2024–25,Early Childhood (Pre-primary School) Teachers,441,1.9
2015–16,Other3,5766,1.9
2016–17,Other3,5489,1.9
2017–18,Other3,6207,1.9
2018–19,Other3,4941,1.9
2019–20,Other3,3826,1.9
2020–21,Other3,2947,1.9
2021–22,Other3,4026,1.9
2022–23,Other3,9006,1.9
2023–24,Other3,8506,1.9
2024–25,Other3,8497,1.9
2015–16,Total,10957,1.9
2016–17,Total,10227,1.9
2017–18,Total,12102,1.9
2018–19,Total,11397,1.9
2019–20,Total,10978,1.9
2020–21,Total,8286,1.9
2021–22,Total,11502,1.9
2022–23,Total,18355,1.9
2023–24,Total,16910,1.9
2024–25,Total,17455,1.9
