Year,variable,value,sheet
2020–21,0–14 years | Total,1329,3.2
2021–22,0–14 years | Total,3741,3.2
2022–23,0–14 years | Total,4881,3.2
2023–24,0–14 years | Total,5516,3.2
2024–25,0–14 years | Total,5609,3.2
2020–21,0–14 years | Female,650,3.2
2021–22,0–14 years | Female,1814,3.2
2022–23,0–14 years | Female,2358,3.2
2023–24,0–14 years | Female,2737,3.2
2024–25,0–14 years | Female,2674,3.2
2020–21,15–19 years | Total,444,3.2
2021–22,15–19 years | Total,1180,3.2
2022–23,15–19 years | Total,1820,3.2
2023–24,15–19 years | Total,1942,3.2
2024–25,15–19 years | Total,1970,3.2
2020–21,15–19 years | Female,219,3.2
2021–22,15–19 years | Female,569,3.2
2022–23,15–19 years | Female,890,3.2
2023–24,15–19 years | Female,919,3.2
2024–25,15–19 years | Female,929,3.2
2020–21,20–24 years | Total,440,3.2
2021–22,20–24 years | Total,1060,3.2
2022–23,20–24 years | Total,1779,3.2
2023–24,20–24 years | Total,1724,3.2
2024–25,20–24 years | Total,1516,3.2
2020–21,20–24 years | Female,234,3.2
2021–22,20–24 years | Female,546,3.2
2022–23,20–24 years | Female,924,3.2
2023–24,20–24 years | Female,850,3.2
2024–25,20–24 years | Female,787,3.2
2020–21,25–29 years | Total,412,3.2
2021–22,25–29 years | Total,1162,3.2
2022–23,25–29 years | Total,1753,3.2
2023–24,25–29 years | Total,1507,3.2
2024–25,25–29 years | Total,1397,3.2
2020–21,25–29 years | Female,198,3.2
2021–22,25–29 years | Female,622,3.2
2022–23,25–29 years | Female,943,3.2
2023–24,25–29 years | Female,793,3.2
2024–25,25–29 years | Female,721,3.2
2020–21,30–34 years | Total,443,3.2
2021–22,30–34 years | Total,1132,3.2
2022–23,30–34 years | Total,1458,3.2
2023–24,30–34 years | Total,1358,3.2
2024–25,30–34 years | Total,1261,3.2
2020–21,30–34 years | Female,226,3.2
2021–22,30–34 years | Female,581,3.2
2022–23,30–34 years | Female,748,3.2
2023–24,30–34 years | Female,776,3.2
2024–25,30–34 years | Female,718,3.2
2020–21,35–39 years | Total,400,3.2
2021–22,35–39 years | Total,927,3.2
2022–23,35–39 years | Total,1109,3.2
2023–24,35–39 years | Total,1247,3.2
2024–25,35–39 years | Total,1233,3.2
2020–21,35–39 years | Female,201,3.2
2021–22,35–39 years | Female,429,3.2
2022–23,35–39 years | Female,549,3.2
2023–24,35–39 years | Female,685,3.2
2024–25,35–39 years | Female,664,3.2
2020–21,40–44 years | Total,294,3.2
2021–22,40–44 years | Total,667,3.2
2022–23,40–44 years | Total,825,3.2
2023–24,40–44 years | Total,1025,3.2
2024–25,40–44 years | Total,936,3.2
2020–21,40–44 years | Female,162,3.2
2021–22,40–44 years | Female,328,3.2
2022–23,40–44 years | Female,448,3.2
2023–24,40–44 years | Female,547,3.2
2024–25,40–44 years | Female,473,3.2
2020–21,45–49 years | Total,240,3.2
2021–22,45–49 years | Total,433,3.2
2022–23,45–49 years | Total,602,3.2
2023–24,45–49 years | Total,716,3.2
2024–25,45–49 years | Total,635,3.2
2020–21,45–49 years | Female,128,3.2
2021–22,45–49 years | Female,220,3.2
2022–23,45–49 years | Female,361,3.2
2023–24,45–49 years | Female,377,3.2
2024–25,45–49 years | Female,340,3.2
2020–21,50–54 years | Total,181,3.2
2021–22,50–54 years | Total,363,3.2
2022–23,50–54 years | Total,506,3.2
2023–24,50–54 years | Total,526,3.2
2024–25,50–54 years | Total,468,3.2
2020–21,50–54 years | Female,86,3.2
2021–22,50–54 years | Female,190,3.2
2022–23,50–54 years | Female,283,3.2
2023–24,50–54 years | Female,292,3.2
2024–25,50–54 years | Female,260,3.2
2020–21,55–59 years | Total,124,3.2
2021–22,55–59 years | Total,297,3.2
2022–23,55–59 years | Total,383,3.2
2023–24,55–59 years | Total,411,3.2
2024–25,55–59 years | Total,367,3.2
2020–21,55–59 years | Female,68,3.2
2021–22,55–59 years | Female,173,3.2
2022–23,55–59 years | Female,228,3.2
2023–24,55–59 years | Female,244,3.2
2024–25,55–59 years | Female,199,3.2
2020–21,60 years and over | Total,251,3.2
2021–22,60 years and over | Total,583,3.2
2022–23,60 years and over | Total,759,3.2
2023–24,60 years and over | Total,778,3.2
2024–25,60 years and over | Total,607,3.2
2020–21,60 years and over | Female,137,3.2
2021–22,60 years and over | Female,328,3.2
2022–23,60 years and over | Female,437,3.2
2023–24,60 years and over | Female,454,3.2
2024–25,60 years and over | Female,362,3.2
2020–21,Total | Total1,4558,3.2
2021–22,Total | Total1,11545,3.2
2022–23,Total | Total1,15875,3.2
2023–24,Total | Total1,16750,3.2
2024–25,Total | Total1,15999,3.2
2020–21,Total | Female,2309,3.2
2021–22,Total | Female,5800,3.2
2022–23,Total | Female,8169,3.2
2023–24,Total | Female,8674,3.2
2024–25,Total | Female,8127,3.2
