Category,variable,value,sheet
Australian-born | Male,15–19,-0.18870584212336625,7.4
Australian-born | Female,15–19,-0.19703432210766175,7.4
Australian-born | Total,15–19,-0.38574016423102797,7.4
Overseas-born | Male,15–19,0.009462975094153555,7.4
Overseas-born | Female,15–19,-0.0018136350420922746,7.4
Overseas-born | Total,15–19,0.00764934005206128,7.4
Total all birth groups,15–19,-0.37809082417896667,7.4
Australian-born | Male,20–24,-0.38449405089003863,7.4
Australian-born | Female,20–24,-0.4141995260140587,7.4
Australian-born | Total,20–24,-0.7986935769040973,7.4
Overseas-born | Male,20–24,-0.06415609085277979,7.4
Overseas-born | Female,20–24,-0.07234169149941995,7.4
Overseas-born | Total,20–24,-0.13649778235219973,7.4
Total all birth groups,20–24,-0.935191359256297,7.4
Australian-born | Male,Change in demographic composition by age group (years) | 25–34,-0.21375695173100737,7.4
Australian-born | Female,Change in demographic composition by age group (years) | 25–34,-0.2854154429389883,7.4
Australian-born | Total,Change in demographic composition by age group (years) | 25–34,-0.49917239466999563,7.4
Overseas-born | Male,Change in demographic composition by age group (years) | 25–34,-0.16670127916277083,7.4
Overseas-born | Female,Change in demographic composition by age group (years) | 25–34,0.03853122378304168,7.4
Overseas-born | Total,Change in demographic composition by age group (years) | 25–34,-0.12817005537972914,7.4
Total all birth groups,Change in demographic composition by age group (years) | 25–34,-0.6273424500497248,7.4
Australian-born | Male,Change in demographic composition by age group (years) | 35–44,-0.7653774731205577,7.4
Australian-born | Female,Change in demographic composition by age group (years) | 35–44,-0.7185815651697085,7.4
Australian-born | Total,Change in demographic composition by age group (years) | 35–44,-1.483959038290266,7.4
Overseas-born | Male,Change in demographic composition by age group (years) | 35–44,0.563282341081795,7.4
Overseas-born | Female,Change in demographic composition by age group (years) | 35–44,0.5489187131653953,7.4
Overseas-born | Total,Change in demographic composition by age group (years) | 35–44,1.1122010542471903,7.4
Total all birth groups,Change in demographic composition by age group (years) | 35–44,-0.3717579840430758,7.4
Australian-born | Male,Change in demographic composition by age group (years) | 45–54,-0.35293967091427525,7.4
Australian-born | Female,Change in demographic composition by age group (years) | 45–54,-0.36729985424978034,7.4
Australian-born | Total,Change in demographic composition by age group (years) | 45–54,-0.7202395251640556,7.4
Overseas-born | Male,Change in demographic composition by age group (years) | 45–54,-0.11639037757812155,7.4
Overseas-born | Female,Change in demographic composition by age group (years) | 45–54,-0.055154086552819614,7.4
Overseas-born | Total,Change in demographic composition by age group (years) | 45–54,-0.17154446413094115,7.4
Total all birth groups,Change in demographic composition by age group (years) | 45–54,-0.8917839892949968,7.4
Australian-born | Male,Change in demographic composition by age group (years) | 55–64,-0.027570009308128945,7.4
Australian-born | Female,Change in demographic composition by age group (years) | 55–64,-0.019235338422436285,7.4
Australian-born | Total,Change in demographic composition by age group (years) | 55–64,-0.04680534773056523,7.4
Overseas-born | Male,Change in demographic composition by age group (years) | 55–64,0.034137503893532754,7.4
Overseas-born | Female,Change in demographic composition by age group (years) | 55–64,0.08573503423204852,7.4
Overseas-born | Total,Change in demographic composition by age group (years) | 55–64,0.11987253812558127,7.4
Total all birth groups,Change in demographic composition by age group (years) | 55–64,0.07306719039501604,7.4
Australian-born | Male,Change in demographic composition by age group (years) | 65+,0.23294762845894998,7.4
Australian-born | Female,Change in demographic composition by age group (years) | 65+,0.13824629640873348,7.4
Australian-born | Total,Change in demographic composition by age group (years) | 65+,0.37119392486768343,7.4
Overseas-born | Male,Change in demographic composition by age group (years) | 65+,0.07387984867222694,7.4
Overseas-born | Female,Change in demographic composition by age group (years) | 65+,0.05690127305851023,7.4
Overseas-born | Total,Change in demographic composition by age group (years) | 65+,0.13078112173073717,7.4
Total all birth groups,Change in demographic composition by age group (years) | 65+,0.5019750465984206,7.4
Australian-born | Male,Change in demographic composition by age group (years) | All age groups,-1.6998963696284244,7.4
Australian-born | Female,Change in demographic composition by age group (years) | All age groups,-1.8635197524939004,7.4
Australian-born | Total,Change in demographic composition by age group (years) | All age groups,-3.563416122122325,7.4
Overseas-born | Male,Change in demographic composition by age group (years) | All age groups,0.33351492114803605,7.4
Overseas-born | Female,Change in demographic composition by age group (years) | All age groups,0.600776831144664,7.4
Overseas-born | Total,Change in demographic composition by age group (years) | All age groups,0.9342917522927,7.4
Total all birth groups,Change in demographic composition by age group (years) | All age groups,-2.6291243698296247,7.4
Australian-born | Male,Change in demographic composition by age group (years) | 15–19,0.02483059524624523,7.4
Australian-born | Female,Change in demographic composition by age group (years) | 15–19,0.08866788455746193,7.4
Australian-born | Total,Change in demographic composition by age group (years) | 15–19,0.11349847980370716,7.4
Overseas-born | Male,Change in demographic composition by age group (years) | 15–19,0.05180667796605771,7.4
Overseas-born | Female,Change in demographic composition by age group (years) | 15–19,0.02591132569886887,7.4
Overseas-born | Total,Change in demographic composition by age group (years) | 15–19,0.07771800366492658,7.4
Total all birth groups,Change in demographic composition by age group (years) | 15–19,0.19121648346863374,7.4
Australian-born | Male,Change in demographic composition by age group (years) | 20–24,-0.02264027725240829,7.4
Australian-born | Female,Change in demographic composition by age group (years) | 20–24,0.07052846995809459,7.4
Australian-born | Total,Change in demographic composition by age group (years) | 20–24,0.0478881927056863,7.4
Overseas-born | Male,Change in demographic composition by age group (years) | 20–24,0.11202563147660358,7.4
Overseas-born | Female,Change in demographic composition by age group (years) | 20–24,0.09115777544903472,7.4
Overseas-born | Total,Change in demographic composition by age group (years) | 20–24,0.2031834069256383,7.4
Total all birth groups,Change in demographic composition by age group (years) | 20–24,0.2510715996313246,7.4
Australian-born | Male,Change in propensity to participate by age group (years) | 25–34,-0.15981039089373342,7.4
Australian-born | Female,Change in propensity to participate by age group (years) | 25–34,0.3139058353592569,7.4
Australian-born | Total,Change in propensity to participate by age group (years) | 25–34,0.1540954444655235,7.4
Overseas-born | Male,Change in propensity to participate by age group (years) | 25–34,0.051128053271443145,7.4
Overseas-born | Female,Change in propensity to participate by age group (years) | 25–34,0.18786050360520365,7.4
Overseas-born | Total,Change in propensity to participate by age group (years) | 25–34,0.2389885568766468,7.4
Total all birth groups,Change in propensity to participate by age group (years) | 25–34,0.3930840013421703,7.4
Australian-born | Male,Change in propensity to participate by age group (years) | 35–44,-0.012141913514108206,7.4
Australian-born | Female,Change in propensity to participate by age group (years) | 35–44,0.30188903122783034,7.4
Australian-born | Total,Change in propensity to participate by age group (years) | 35–44,0.28974711771372214,7.4
